,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
0,1.0,CA-2016-152156,11/8/2016,11/11/2016,,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,,2.0,0.0,41.9136
1,,,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.0,0.0,219.582
2,3.0,,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,0.0,6.8714
3,4.0,US-2015-108966,10/11/2015,10/18/2015,Standard Class,,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5.0,,-383.031
4,5.0,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.0,0.2,2.5164
5,6.0,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,,Los Angeles,California,90032.0,,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,0.0,14.1694
6,7.0,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,0.0,1.9656
7,8.0,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,,,907.152,6.0,0.2,90.7152
8,9.0,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3.0,0.2,5.7825
9,10.0,CA-2014-115812,6/9/2014,6/14/2014,,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,0.0,34.47
10,11.0,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9.0,0.2,85.3092
11,12.0,CA-2014-115812,6/9/2014,,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4.0,0.2,68.3568
12,13.0,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,,Xerox 1967,15.552,3.0,0.2,5.4432
13,14.0,CA-2016-161389,12/5/2016,12/10/2016,,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3.0,0.2,132.5922
14,15.0,US-2015-118983,11/22/2015,11/26/2015,Standard Class,,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,0.8,-123.858
15,16.0,US-2015-118983,11/22/2015,11/26/2015,,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,,Central,OFF-BI-10000756,,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3.0,0.8,-3.816
16,17.0,CA-2014-105893,11/11/2014,11/18/2014,,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,6.0,0.0,13.3176
17,18.0,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2.0,0.0,9.99
18,,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,,2.4824
19,,CA-2014-143336,8/27/2014,,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,,California,94109.0,West,TEC-PH-10001949,Technology,Phones,,213.48,3.0,0.2,16.011
